"h3","ca","k","MAP","wL","fwL","averA","E/MAP","averm","averB","averw","averci/ca"
5,400,0.025,100,0.168266694549542,0.755066262338754,1.89381617519646,1.00000006188238,0.850705464089864,1.04311071110659,0.171532333318382,0.115430301490225
10,400,0.025,100,0.176439613954222,0.824090573946082,1.69363535510344,0.999999910198913,0.877101475063109,0.816533880040326,0.17936316451914,0.100893959065281
15,400,0.025,100,0.183170419762508,0.839526134670727,1.63358673728535,1.00000000054078,0.87115033199242,0.762436405292927,0.186104968357817,0.0970775281987187
20,400,0.025,100,0.188598461131513,0.841735424518677,1.63013377720219,1.00000007512557,0.878432836707115,0.751700940495078,0.191622389268056,0.0968140743656651
25,400,0.025,100,0.193033567679777,0.840141386807812,1.64523348260345,1.00000000378162,0.892748539409876,0.752484943193577,0.196165827417646,0.0976703996279002
30,400,0.025,100,0.19676587517209,0.837282481562188,1.66623408298534,0.999999846708102,0.909405765542326,0.756828317443016,0.20000890890011,0.0988825110253249
35,400,0.025,100,0.199989441111123,0.833983700373873,1.68881351356111,0.999999937226856,0.926485477107153,0.762328036453953,0.203341387932543,0.100192037641732
40,400,0.025,100,0.202830779372839,0.830559000273535,1.71132860079769,0.999999961991964,0.943215359406049,0.768113241391642,0.206287587205516,0.101502525268769
45,400,0.025,100,0.205375054178385,0.827140410670816,1.73315264629678,0.99999950819881,0.959305709507518,0.773846936789264,0.208932558413704,0.102776293071831
50,400,0.025,100,0.20768186405254,0.823785555110436,1.75405665814159,0.999999940554185,0.97466300405652,0.779393654085073,0.211336053502794,0.103999345884345
5,400,0.1,100,0.168266694549542,0.588823879292692,2.54289272122759,1.00002961989583,1.62859630550125,0.914296415726343,0.170404609613484,0.158486270030839
10,400,0.1,100,0.176439613954222,0.74510225550016,2.13817560450105,1.00000336620578,1.58718282200073,0.550992782500324,0.177821097013475,0.127442888335435
15,400,0.1,100,0.183170419762508,0.786184318650475,1.96913434049551,1.00000012939608,1.51188447494596,0.457249865549545,0.184383217988155,0.116711641429827
20,400,0.1,100,0.188598461131513,0.797029148790861,1.9183213924409,1.00000019492572,1.48873849218968,0.42958290025122,0.189778117016621,0.113604460003491
25,400,0.1,100,0.193033567679777,0.798993256795026,1.90985517265407,1.00000001390985,1.49018952125811,0.419665651395959,0.194219444073145,0.113079826993528
30,400,0.1,100,0.19676587517209,0.797806349027862,1.91717352159188,0.999998254468929,1.50135201326005,0.415821508331827,0.197971289965949,0.11350662512533
35,400,0.1,100,0.199989441111123,0.795328228751021,1.9309016189796,1.00000001833077,1.51637711524815,0.414524503731443,0.201221173588831,0.114319644103194
40,400,0.1,100,0.202830779372839,0.792284712554431,1.9471924548083,1.00000001307735,1.53276363879092,0.414428816017373,0.204090415490232,0.115290149486863
45,400,0.1,100,0.205375054178385,0.788998395245668,1.96438439507219,0.99999992159932,1.54942904089163,0.414955354180562,0.206663338612277,0.116318516562859
50,400,0.1,100,0.20768186405254,0.785624988547787,1.9816825798525,1.00000001230124,1.56586463398932,0.415817945863186,0.208998856671909,0.117357125734093
